Tag,Eng Units,Archive Zero,Archive Span,Observed Zero,Observed Span,Flag,Status,Snapshot Start Time,Snapshot Count,Scan Rate (Observed),Archive Exc Dev,Archive Exc Min,Archive Exc Max,Archive Comp Dev,Archive Comp Min,Archive Comp Max,Archive Fidelity(%),Archive Count,Archive Ratio(%),Archive Data Storage(MB),Recommended Exc Dev,Recommended Exc Min,Recommended Exc Max,Recommended Comp Dev,Recommended Comp Min,Recommended Fidelity(%),Recommended Count,Recommended Ratio(%),Recommended Data Storage(MB),Annual Data Storage Savings(MB),Fidelity Change(%)
R_4RPI13894-PV,PSI,0,100,-0.3852009,48.09283,Check Signal,-,10/10/2019 9:16:54 AM,83105,7 (7) s,0,0 s,10 m,0.06,0 s,8 h,99.1,75258,90.55773,,0.08461609,0 s,10 m,0.1692322,0 s,89.6,62850,75.62722,,,-9.5
R_4RLIC1263-SP,%,0,100,68,3,-,-,10/10/2019 9:25:28 AM,3779,7 (7) s,0,0 s,18 h,0.0002,0 s,5 m,100,48,1.270177,,0.001,0 s,18 h,0.002,0 s,99.2,48,1.270177,,,-0.8
R_5ZTI6134C-PV,DEGF,0,400,-164.052,1762.052,-,-,10/10/2019 9:16:22 AM,5301,2 (2) s,0,0 s,10 m,4,0 s,8 h,91.8,617,11.63931,,0.4884862,0 s,10 m,0.9769725,0 s,86.2,1681,31.711,,,-5.6
0HCI15008.PV,uS/cm,0,20000,60.4409,3618.759,-,-,10/15/2019 11:55:27 AM,3512,6 (6) s,0,0 s,10 m,0,0 s,8 h,99.9,3495,99.51595,,3.483282,0 s,10 m,6.966565,0 s,85.7,1396,39.74943,,,-14.2
R_4RPI1352-PV,PSI,0,200,72.155,87.6781,Hard to Compress,-,10/10/2019 9:15:49 AM,28330,7 (7) s,0,0 s,18 h,2,0 s,8 h,37.9,3996,14.10519,,0.02338559,0 s,18 h,0.04677118,0 s,97.8,26898,94.94529,,,59.9
R_4RFIC9003-SP,KPPH,0,142,40,36.82479,Check Signal,-,10/10/2019 9:15:32 AM,313083,7 (7) s,0,0 s,10 m,0.9466667,0 s,8 h,72.5,148044,47.28586,,0.1174815,0 s,10 m,0.2349631,0 s,95.9,280413,89.56507,,,23.4
R_6ZLIC15092-VL,,0,100,55.40826,47.59174,-,-,10/23/2019 10:05:52 AM,996853,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,994954,99.80949,,0.02809577,0 s,1 m,0.05619153,0 s,85,387015,38.82368,,,-15
R_6ZLIC15219A-VL,,0,100,10,91,Hard to Compress,-,10/24/2019 1:33:39 PM,997269,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,996740,99.94696,,0.05186015,0 s,1 m,0.1037203,0 s,99.2,881048,88.34608,,,-0.8
R_5RFIC6741A-VL,%,0,100,60.03105,39.96895,-,-,10/10/2019 9:18:46 AM,145467,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,145162,99.79033,,0.1295437,0 s,1 m,0.2590875,0 s,87.7,18199,12.51074,,,-12.3
R_6ZLIC15377-PV,PCT,0,100,22.33415,58.14519,Hard to Compress,-,10/19/2019 6:28:05 AM,997982,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,996526,99.8541,,0.004862824,0 s,1 m,0.009725648,0 s,100,907088,90.89222,,,0
R_4RTIC9968-PV,DEGF,0,300,154.4035,6.222702,Hard to Compress,-,10/10/2019 9:16:32 AM,3791,7 (7) s,0,0 s,18 h,0.1875,0 s,5 m,99.5,3778,99.65708,,0.0008096086,0 s,18 h,0.001619217,0 s,99.6,3788,99.92086,,,0.1
R_5ZFIC15014-VL,PCT,0,100,0,100,-,-,10/15/2019 11:48:43 AM,3114,2 (2) s,0,0 s,10 m,0,0 s,8 h,89,152,4.881182,,0.01,0 s,10 m,0.02,0 s,88.8,152,4.881182,,,-0.2
R_5ZFI6383C-PV,GPM,0,500,399.846,118.279,Hard to Compress,Stale,10/15/2019 8:41:14 PM,32,2 (2) s,0,0 s,10 m,10,0 s,8 h,90.1,15,46.875,,0.9184141,0 s,10 m,1.836828,0 s,99.4,29,90.625,,,9.3
R_5RHIC6915-PV,%,-100,200,50.00261,14.76704,-,-,10/22/2019 7:03:52 AM,998000,7 (7) s,2,0 s,10 m,4,0 s,8 h,27.6,43,0.004308617,,0.0503873,0 s,10 m,0.1007746,0 s,85,463628,46.45571,,,57.4
R_5RTI2040E-PV,DEGF,500,350,645.269,195.4104,-,-,10/10/2019 9:16:38 AM,126939,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,68.9,5726,4.510828,,0.1615798,0 s,10 m,0.3231595,0 s,90.4,28065,22.10905,,,21.5
